gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0051900111,269,PT05M15.00S,2,1610612757,POR,1629117,Gabriel,W. Gabriel,1,3,0,Missed,1,0,0,0,h,MISS Gabriel  Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,2,198
0051900111,270,PT05M13.00S,2,1610612757,POR,1629117,Gabriel,W. Gabriel,0,0,0,,0,0,0,0,h,Gabriel REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,199
0051900111,271,PT05M13.00S,2,1610612757,POR,1629117,Gabriel,W. Gabriel,8,4,1,Missed,1,0,0,0,h,MISS Gabriel 1' Putback Layup,Missed Shot,Putback Layup Shot,1,2,200
0051900111,271,PT05M13.00S,2,1610612763,MEM,203476,Dieng,G. Dieng,0,0,0,,0,0,0,0,v,Dieng BLOCK (1 BLK),,,1,2,201
0051900111,273,PT05M13.00S,2,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Rebound,Rebound,Unknown,0,0,202
0051900111,275,PT05M13.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,0,0,0,,0,0,0,0,v,SUB: Allen FOR Anderson,Substitution,,0,0,203
0051900111,277,PT05M03.00S,2,1610612757,POR,203468,McCollum,C. McCollum,27,71,8,Made,1,47,44,91,h,McCollum 8' Driving Floating Jump Shot (10 PTS),Made Shot,Driving Floating Jump Shot,1,2,204
0051900111,278,PT04M49.00S,2,1610612763,MEM,1629634,Clarke,B. Clarke,30,89,9,Made,1,47,46,93,v,Clarke 9' Floating Jump Shot (6 PTS) (Morant 1 AST),Made Shot,Floating Jump shot,1,2,205
0051900111,280,PT04M29.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,84,253,27,Made,1,50,46,96,h,Nurkic 27' 3PT Jump Shot (9 PTS),Made Shot,Jump Shot,1,3,206
0051900111,282,PT04M10.00S,2,1610612763,MEM,1628415,Brooks,D. Brooks,9,20,2,Missed,1,0,0,0,v,MISS Brooks 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,2,207
0051900111,283,PT04M07.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:2 Def:10),Rebound,Unknown,1,0,208
0051900111,284,PT04M00.00S,2,1610612757,POR,203468,McCollum,C. McCollum,45,151,16,Missed,1,0,0,0,h,MISS McCollum 16' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,209
0051900111,285,PT03M57.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:4 Def:10),Rebound,Unknown,1,0,210
0051900111,286,PT03M57.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,-6,1,Missed,1,0,0,0,h,MISS Nurkic 1' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,211
