season,phase,game_id,home_team,road_team,stat,delta_home,delta_road,abs_sum,max_abs_side,classification,tov_max_t_home,tov_max_t_road,blk_sum_player_home,blk_sum_player_road
2015-16,regular,0021500594,OKC,MIN,ftm,1,0,1,1,ft_source_gap_small,,,,
2015-16,regular,0021500627,DEN,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2015-16,regular,0021500761,CHA,WAS,ftm,0,1,1,1,ft_source_gap_small,,,,
2015-16,regular,0021500765,MEM,DAL,ftm,1,0,1,1,ft_source_gap_small,,,,
2015-16,regular,0021500965,BOS,HOU,ftm,0,1,1,1,ft_source_gap_small,,,,
2015-16,regular,0021501180,PHI,NYK,ftm,0,1,1,1,ft_source_gap_small,,,,
2025-26,regular,0022500029,WAS,CLE,ftm,-1,0,1,1,ft_linked_score_gap,,,,
2025-26,regular,0022500029,WAS,CLE,pts,-1,0,1,1,ft_linked_score_gap,,,,
2006-07,regular,0020601199,TOR,NYK,fta,1,0,1,1,unclassified,,,,
2010-11,regular,0021000044,CHI,POR,ftm,1,0,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000227,IND,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000365,DEN,ORL,ftm,1,0,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000365,DEN,ORL,fta,1,0,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000434,ORL,BOS,ftm,1,0,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000676,UTA,SAS,ftm,0,1,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000857,PHX,ATL,ftm,0,1,1,1,ft_source_gap_small,,,,
2010-11,regular,0021000930,LAC,DEN,ftm,1,0,1,1,ft_source_gap_small,,,,
2010-11,regular,0021001173,GSW,LAL,ftm,0,1,1,1,ft_source_gap_small,,,,
2010-11,regular,0021001210,DEN,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
