Season,Team,Games,Net_Rating,EFG,BH,OREB,FT_Rate,Opp_EFG,Opp_BH,Opp_OREB,Opp_FT_Rate
2024-25,BKN,82,-7.16017,0.517414,0.862636,0.242355,0.190842,0.557932,0.863486,0.245874,0.222301
2024-25,BOS,93,9.107718,0.55831,0.890649,0.255561,0.176932,0.519345,0.8846,0.244227,0.160424
2024-25,CHA,82,-9.042088,0.503948,0.863134,0.264301,0.175867,0.548267,0.881129,0.254671,0.193373
2024-25,CHI,83,-1.826121,0.553328,0.872631,0.222162,0.17522,0.540834,0.892083,0.234492,0.180115
2024-25,CLE,91,9.477921,0.576403,0.884895,0.260479,0.197342,0.532425,0.871721,0.245592,0.181656
2024-25,DAL,84,-1.253419,0.551037,0.874578,0.233758,0.205586,0.540432,0.883677,0.268208,0.180477
2024-25,DEN,96,2.398315,0.565785,0.873151,0.268035,0.203361,0.541786,0.888687,0.251031,0.177197
2024-25,DET,88,1.89988,0.546165,0.868616,0.26028,0.200036,0.53919,0.86861,0.237399,0.216117
2024-25,GSW,95,2.377849,0.533982,0.876009,0.270562,0.19021,0.542598,0.858982,0.248586,0.195841
2024-25,HOU,89,4.007462,0.522078,0.880971,0.313858,0.185771,0.529638,0.873187,0.235487,0.184718
2024-25,IND,105,2.15394,0.561816,0.879469,0.209567,0.201067,0.54055,0.870676,0.255464,0.208722
2024-25,LAC,89,4.634758,0.555776,0.867466,0.244491,0.199047,0.538453,0.864095,0.226861,0.189597
2024-25,LAL,87,0.701409,0.555911,0.872062,0.230514,0.21616,0.538423,0.878872,0.256369,0.18169
2024-25,MEM,88,3.594421,0.550792,0.867013,0.286085,0.199006,0.534804,0.873522,0.249091,0.208508
2024-25,MIA,88,-0.822194,0.545069,0.873938,0.221964,0.181589,0.54643,0.876171,0.241298,0.160081
2024-25,MIL,88,2.011189,0.568224,0.877788,0.19315,0.202716,0.534644,0.886903,0.232132,0.177044
2024-25,MIN,97,4.768788,0.553811,0.868269,0.260679,0.198847,0.531954,0.867378,0.250653,0.185954
2024-25,NOP,82,-9.52953,0.519418,0.871343,0.261881,0.185764,0.565282,0.877506,0.27109,0.191937
2024-25,NYK,100,3.125337,0.550218,0.880353,0.260239,0.196057,0.546358,0.869758,0.250613,0.188051
2024-25,OKC,106,11.41575,0.550513,0.895173,0.241734,0.194121,0.513682,0.848972,0.256216,0.217069
2024-25,ORL,88,-0.544703,0.509264,0.872446,0.252509,0.209283,0.537737,0.852292,0.226852,0.225993
2024-25,PHI,82,-6.349335,0.52752,0.877276,0.232899,0.202979,0.570743,0.857383,0.281144,0.196916
2024-25,PHX,82,-2.936377,0.56191,0.871325,0.223064,0.197463,0.554688,0.890557,0.25497,0.193904
2024-25,POR,82,-2.582698,0.523529,0.862332,0.29256,0.189196,0.54395,0.863884,0.27538,0.206442
2024-25,SAC,83,0.451761,0.548873,0.881125,0.254421,0.191081,0.557587,0.875576,0.230195,0.203442
2024-25,SAS,82,-2.774211,0.54512,0.876972,0.24267,0.182426,0.552427,0.880427,0.268029,0.159808
2024-25,TOR,82,-4.124242,0.524586,0.867391,0.271034,0.177098,0.540852,0.868504,0.259628,0.226185
2024-25,UTA,82,-9.296682,0.535338,0.851183,0.265854,0.198211,0.561014,0.896974,0.258804,0.187944
2024-25,WAS,82,-12.207013,0.511999,0.864086,0.225772,0.180882,0.548298,0.885812,0.277791,0.204251
